city,country,population,area,image
Токио,Япония,37400068,8223,tokyo.jpeg
Дели,Индия,28514000,2240,delhi.jpeg
Шанхай,Китай,25582000,4015,shanghai.jpeg
Сан-Паулу,Бразилия,21650000,3043,sao-paulo.jpeg
Мехико,Мексика,21581000,2370,mexico.jpeg
Каир,Египет,20076000,1917,cairo.jpeg
Мумбаи,Индия,19980000,881,mumbai.jpeg
Пекин,Китай,19618000,4144,beijing.jpeg
Дакка,Бангладеш,19578000,453,dhaka.jpeg
Осака,Япония,19281000,3004,osaka.jpeg
Нью-Йорк,США,18819000,11875,new-york.jpeg
Карачи,Пакистан,15400000,1036,karachi.jpeg
Буэнос-Айрес,Аргентина,14967000,3212,buenos-aires.jpeg
Чунцин,Китай,14838000,1489,chonqing.jpeg
Стамбул,Турция,14751000,1360,istanbul.jpeg
Калькутта,Индия,14681000,1347,kolkata.jpeg
Манила,Филиппины,13482000,1813,manila.jpeg
Лагос,Нигерия,13463000,1943,lagos.jpeg
Рио-де-Жанейро,Бразилия,13293000,1917,rio-de-janeiro.jpeg
Тяньцзинь,Китай,13215000,2771,
Киншаса,ДР Конго,13171000,583,
Гуанчжоу,Китай,12638000,3885,
Лос-Анджелес,США,12458000,6299,los-angeles.jpeg
Москва,Россия,12410000,5698,moscow.jpeg
Шэньчжэнь,Китай,11908000,1748,
Лахор,Пакистан,11738000,896,
Бангалор,Индия,11440000,1166,
Париж,Франция,10901000,2845,paris.jpeg
Богота,Колумбия,10574000,585,
Джакарта,Индонезия,10517000,3367,jakarta.jpeg
Ченнай,Индия,10456000,1049,
Лима,Перу,10391000,894,
Бангкок,Таиланд,10156000,3043,
Сеул,Южная Корея,9963000,2745,seoul.jpeg
Нагоя,Япония,9507000,3704,
Хайдарабад,Индия,9482000,1230,
Лондон,Великобритания,9046000,1738,london.jpeg
Тегеран,Иран,8896000,1943,
Чикаго,США,8864000,6856,chicago.jpeg
Чэнду,Китай,8813000,1813,
Нанкин,Китай,8245000,1489,
Ухань,Китай,8176000,1619,
Хошимин,Вьетнам,8145000,1645,
Луанда,Ангола,7774000,984,
Ахмедабад,Индия,7681000,350,
Куала Лумпур,Малайзия,7564000,2163,
Сиань,Китай,7444000,1088,
Гонконг,Китай,7429000,285,
Дунгуань,Китай,7360000,1748,
Ханчжоу,Китай,7236000,1334,
Фошань,Китай,7236000,,
Шэньян,Китай,6921000,1502,
Эр-Рияд,Саудов. Аравия,6907000,1658,
Багдад,Ирак,6812000,673,
Сантьяго,Чили,6680000,1140,
Сурат,Индия,6564000,233,
Мадрид,Испания,6497000,1360,madrid.jpeg
Сучжоу,Китай,6339000,1373,
Пуна,Индия,6276000,583,
Харбин,Китай,6115000,,
Хьюстон,США,6115000,4841,
Даллас,США,6099000,5175,
Торонто,Канада,6082000,2300,toronto.jpeg
Дар-эс-Салам,Танзания,6048000,,
Майами,США,6036000,,
Белу-Оризонти,Бразилия,5972000,,
Сингапур,Сингапур,5792000,,
Филадельфия,США,5695000,,
Атланта,США,5572000,7296,
Фукуока,Япония,5551000,505,
Хартум,Судан,5534000,1010,
Барселона,Испания,5494000,1075,barcelona.jpeg
Йоханнесбург,Южная Африка,5486000,2590,
Санкт-Петербург,Россия,5383000,,st-petersburg.jpeg
Циндао,Китай,5381000,,
Далянь,Китай,5300000,,
Вашингтон,США,5207000,5281,
Янгон,Мьянма,5157000,,
Александрия,Египет,5086000,,
Цзинань,Китай,5052000,,
Гвадалахара,Мексика,5023000,,
